Symbol,Company Name,Quant Rating,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
LSF,"Laird Superfood, Inc.",Rating: Strong Buy4.96,Rating: Not Covered,Rating: Strong Buy4.50,92.18M,-,D,A+,D,A+,B-
ACRS,"Aclaris Therapeutics, Inc.",Rating: Strong Buy4.96,Rating: Not Covered,Rating: Buy4.00,272.87M,-,C+,B-,D+,A+,B-
FOA,Finance of America Companies Inc.,Rating: Strong Buy4.96,Rating: Not Covered,Rating: Buy3.50,428.04M,-,A+,B,B-,A+,B-
HNST,"The Honest Company, Inc.",Rating: Strong Buy4.96,Rating: Hold3.00,Rating: Buy4.37,825.86M,-,D+,B-,C,A+,A-
TSM,Taiwan Semiconductor Manufacturing Company Limited,Rating: Strong Buy4.95,Rating: Buy4.03,Rating: Strong Buy4.64,797.86B,1.21,C+,A-,A+,B,B+
MESO,Mesoblast Limited,Rating: Strong Buy4.95,Rating: Strong Buy5.00,Rating: Buy4.33,1.31B,-,D+,C+,B-,A+,A+
RDW,Redwire Corporation,Rating: Strong Buy4.95,Rating: Hold3.00,Rating: Buy4.33,897.64M,-,B-,B,D+,A+,C
QFIN,"Qifu Technology, Inc.",Rating: Strong Buy4.95,Rating: Buy4.00,Rating: Strong Buy4.81,5.88B,3.12,A+,A-,B+,A+,A+
SUPV,Grupo Supervielle S.A.,Rating: Strong Buy4.95,Rating: Not Covered,Rating: Sell2.00,1.10B,1.49,C,B+,C,A+,B+
WFC,Wells Fargo & Company,Rating: Strong Buy4.95,Rating: Buy3.75,Rating: Buy3.83,257.07B,1.94,D,A-,A+,A-,B+
TZOO,Travelzoo,Rating: Strong Buy4.95,Rating: Buy3.50,Rating: Strong Buy4.75,241.64M,-,D+,A-,B,A+,A
DSP,Viant Technology Inc.,Rating: Strong Buy4.94,Rating: Hold3.00,Rating: Strong Buy4.50,1.15B,-,B,C,C+,A+,A-
TWLO,Twilio Inc.,Rating: Strong Buy4.94,Rating: Buy3.66,Rating: Buy3.63,15.78B,-,B-,A-,B,A,A-
CENX,Century Aluminum Company,Rating: Strong Buy4.94,Rating: Hold3.00,Rating: Buy3.66,2.14B,-,C+,A+,C-,A+,A-
INSG,Inseego Corp.,Rating: Strong Buy4.94,Rating: Hold2.50,Rating: Hold3.33,179.16M,-,B+,C+,D+,A+,A+
SKYW,"SkyWest, Inc.",Rating: Strong Buy4.94,Rating: Buy4.00,Rating: Buy4.00,4.60B,-,A+,A+,B+,A+,A
WWW,"Wolverine World Wide, Inc.",Rating: Strong Buy4.94,Rating: Hold3.00,Rating: Buy4.00,1.86B,1.73,D+,C+,B,A+,A+
QTWO,"Q2 Holdings, Inc.",Rating: Strong Buy4.94,Rating: Buy4.00,Rating: Buy4.00,6.31B,-,C-,A,B,A+,A-
RSI,"Rush Street Interactive, Inc.",Rating: Strong Buy4.93,Rating: Buy3.50,Rating: Buy4.44,3.21B,-,D+,B,C+,A+,A+
BCOV,Brightcove Inc.,Rating: Strong Buy4.93,Rating: Hold3.00,Rating: Buy4.00,193.82M,-,B-,C+,C-,A+,A-
CLS,Celestica Inc.,Rating: Strong Buy4.93,Rating: Buy4.10,Rating: Buy4.27,9.68B,-,B,B+,C+,A+,A+
NCLH,Norwegian Cruise Line Holdings Ltd.,Rating: Strong Buy4.93,Rating: Buy3.50,Rating: Buy4.00,11.84B,-,C+,B+,B+,A+,A+
BBAR,Banco BBVA Argentina S.A.,Rating: Strong Buy4.93,Rating: Buy3.50,Rating: Hold3.00,3.67B,-,B+,A+,B-,A+,B-
EFXT,Enerflex Ltd.,Rating: Strong Buy4.93,Rating: Not Covered,Rating: Buy4.22,1.15B,0.89,C,A,C,A+,A+
BVS,Bioventus Inc.,Rating: Strong Buy4.93,Rating: Not Covered,Rating: Buy4.00,803.37M,-,D,A+,B+,A+,A-
AIRG,"Airgain, Inc.",Rating: Strong Buy4.93,Rating: Hold3.00,Rating: Strong Buy4.66,99.72M,-,C+,A+,D,A+,A+
AVPT,"AvePoint, Inc.",Rating: Strong Buy4.92,Rating: Buy4.00,Rating: Buy4.42,3.34B,-,D,A+,B+,A+,B+
COF,Capital One Financial Corporation,Rating: Strong Buy4.92,Rating: Buy3.66,Rating: Buy3.55,72.98B,1.25,B,C+,A+,A-,B
ALLT,Allot Ltd.,Rating: Strong Buy4.92,Rating: Not Covered,Rating: Strong Buy5.00,170.33M,-,B+,C-,D+,A+,A-
ZIM,ZIM Integrated Shipping Services Ltd.,Rating: Strong Buy4.92,Rating: Buy3.80,Rating: Sell2.00,2.66B,5.25,A+,A,A+,A,A
PNC,"The PNC Financial Services Group, Inc.",Rating: Strong Buy4.92,Rating: Buy4.00,Rating: Buy3.78,85.31B,2.93,B,B+,A+,B+,B
LC,LendingClub Corporation,Rating: Strong Buy4.92,Rating: Strong Buy4.66,Rating: Buy4.40,1.85B,-,B-,B-,A,A+,B+
PYPL,"PayPal Holdings, Inc.",Rating: Strong Buy4.92,Rating: Buy4.33,Rating: Buy3.86,86.79B,-,D+,B-,A,B+,A
IGIC,International General Insurance Holdings Ltd.,Rating: Strong Buy4.91,Rating: Buy4.00,Rating: Strong Buy4.50,1.15B,0.27,C+,B+,A,A+,A
PGR,The Progressive Corporation,Rating: Strong Buy4.91,Rating: Buy3.66,Rating: Buy3.85,156.33B,0.43,C+,A+,A+,B-,B+
CRMD,CorMedix Inc.,Rating: Strong Buy4.91,Rating: Buy4.00,Rating: Buy4.25,605.56M,-,C-,A+,C+,A+,B
STRL,"Sterling Infrastructure, Inc.",Rating: Strong Buy4.91,Rating: Buy4.25,Rating: Hold3.00,6.00B,-,C-,B,A-,A+,A
TMUS,"T-Mobile US, Inc.",Rating: Strong Buy4.91,Rating: Buy3.66,Rating: Buy4.25,285.71B,1.15,D,A+,A+,A,B+
ALL,The Allstate Corporation,Rating: Strong Buy4.91,Rating: Buy4.00,Rating: Buy3.84,55.13B,1.75,A,A+,A,B-,B
ICAGY,International Consolidated Airlines Group S.A.,Rating: Strong Buy4.91,Rating: Buy4.00,Rating: Strong Buy5.00,15.81B,1.02,A+,A+,A+,A,A-
MFG,"Mizuho Financial Group, Inc.",Rating: Strong Buy4.90,Rating: Hold3.00,Rating: Buy4.00,62.08B,-,A+,A+,A+,C+,A+
TCOM,Trip.com Group Limited,Rating: Strong Buy4.90,Rating: Hold3.00,Rating: Strong Buy4.66,41.54B,-,C+,A+,A+,A,A
GM,General Motors Company,Rating: Strong Buy4.90,Rating: Buy4.00,Rating: Buy3.78,61.03B,0.81,A,B-,A+,A-,B+
CTV,Innovid Corp.,Rating: Strong Buy4.90,Rating: Buy3.50,Rating: Hold3.00,451.63M,-,D,A+,C,A+,A-
PRM,"Perimeter Solutions, Inc.",Rating: Strong Buy4.90,Rating: Not Covered,Rating: Buy3.50,1.84B,-,C,A,A+,A+,A
ZURVY,Zurich Insurance Group AG,Rating: Strong Buy4.90,Rating: Buy4.00,Rating: Hold3.00,90.21B,4.53,A,A+,A,C-,A-
ROAD,"Construction Partners, Inc.",Rating: Strong Buy4.90,Rating: Hold3.00,Rating: Buy4.00,5.65B,-,C-,A,C,A+,A+
TEO,Telecom Argentina S.A.,Rating: Strong Buy4.89,Rating: Sell2.00,Rating: Sell1.75,6.28B,-,D,B,B,A+,A+
YPF,YPF Sociedad Anónima,Rating: Strong Buy4.89,Rating: Buy4.00,Rating: Buy3.81,17.11B,-,C+,C-,B-,A+,A
MPTI,"M-tron Industries, Inc.",Rating: Strong Buy4.89,Rating: Hold3.00,Rating: Not Covered,187.34M,-,C,A-,B+,A,A
IAG,IAMGOLD Corporation,Rating: Strong Buy4.89,Rating: Hold3.00,Rating: Hold3.45,3.08B,-,A+,A+,A-,A,A-
NECB,"Northeast Community Bancorp, Inc.",Rating: Strong Buy4.89,Rating: Strong Buy5.00,Rating: Hold3.00,351.12M,1.36,C+,A+,B-,A+,A+
FLXS,"Flexsteel Industries, Inc.",Rating: Strong Buy4.89,Rating: Hold3.00,Rating: Not Covered,308.16M,1.05,C,C,B-,A+,A+
INTA,"Intapp, Inc.",Rating: Strong Buy4.89,Rating: Buy4.00,Rating: Buy4.30,4.65B,-,C-,A+,B,A,A
XIACY,Xiaomi Corporation,Rating: Strong Buy4.88,Rating: Buy4.00,Rating: Buy4.00,90.60B,-,C-,B-,A-,A,B+
PRIM,Primoris Services Corporation,Rating: Strong Buy4.88,Rating: Buy4.00,Rating: Buy4.33,4.47B,0.29,D+,B,C,A+,A
OMIC,"Singular Genomics Systems, Inc.",Rating: Strong Buy4.88,Rating: Not Covered,Rating: Hold3.00,54.77M,-,A-,C,B-,A+,A+
FINV,FinVolution Group,Rating: Strong Buy4.88,Rating: Strong Buy4.50,Rating: Strong Buy4.66,1.72B,3.57,A+,B-,A-,B-,A-
TGTX,"TG Therapeutics, Inc.",Rating: Strong Buy4.88,Rating: Strong Buy4.50,Rating: Buy4.30,5.02B,-,A+,A+,B,A+,C-
NTGR,"NETGEAR, Inc.",Rating: Strong Buy4.88,Rating: Buy3.66,Rating: Buy4.00,691.63M,-,A,C,B,A,A
ATAT,Atour Lifestyle Holdings Limited,Rating: Strong Buy4.88,Rating: Buy4.33,Rating: Strong Buy4.91,3.42B,1.81,B-,A+,A,A,A+
CRDO,Credo Technology Group Holding Ltd,Rating: Strong Buy4.87,Rating: Buy4.00,Rating: Buy4.33,7.59B,-,C,A+,C-,A+,B-
TILE,"Interface, Inc.",Rating: Strong Buy4.87,Rating: Hold3.00,Rating: Strong Buy4.50,1.55B,0.15,C-,C-,C+,A+,A
RTX,RTX Corporation,Rating: Strong Buy4.87,Rating: Buy3.71,Rating: Buy3.58,160.17B,2.06,C-,C,A+,B,A+
DFS,Discover Financial Services,Rating: Strong Buy4.87,Rating: Buy4.00,Rating: Hold3.43,45.84B,1.53,A,A+,A,A,B-
LNSR,"LENSAR, Inc.",Rating: Strong Buy4.87,Rating: Not Covered,Rating: Strong Buy5.00,89.32M,-,C+,C,B,A+,A
ESOA,Energy Services of America Corporation,Rating: Strong Buy4.87,Rating: Not Covered,Rating: Strong Buy5.00,260.99M,0.38,C-,A+,C,A+,A-
MFC,Manulife Financial Corporation,Rating: Strong Buy4.87,Rating: Buy3.66,Rating: Buy3.78,55.85B,3.67,B+,B-,A+,B-,B+
MTB,M&T Bank Corporation,Rating: Strong Buy4.87,Rating: Hold3.00,Rating: Buy3.75,36.64B,2.40,D,C-,B+,A,A
TCBX,"Third Coast Bancshares, Inc.",Rating: Strong Buy4.86,Rating: Hold3.00,Rating: Buy4.00,484.38M,-,B-,A-,C-,A+,A
FSFG,"First Savings Financial Group, Inc.",Rating: Strong Buy4.86,Rating: Hold3.00,Rating: Buy3.66,205.23M,1.96,A-,B+,D+,A+,A+
ARIS,"Aris Water Solutions, Inc.",Rating: Strong Buy4.86,Rating: Buy3.50,Rating: Buy4.18,1.56B,1.45,C,A+,D+,A+,B
TPB,"Turning Point Brands, Inc.",Rating: Strong Buy4.86,Rating: Strong Buy4.50,Rating: Strong Buy4.75,1.09B,0.45,C,A,B+,A+,B+
MTZ,"MasTec, Inc.",Rating: Strong Buy4.86,Rating: Buy3.50,Rating: Buy4.35,11.26B,-,C,B+,B,A+,A
PPC,Pilgrim's Pride Corporation,Rating: Strong Buy4.86,Rating: Hold3.33,Rating: Hold3.14,11.97B,-,A+,A,B+,A,A+
RERE,ATRenew Inc.,Rating: Strong Buy4.86,Rating: Buy4.00,Rating: Strong Buy5.00,755.02M,-,B+,A-,D+,A+,A
DXPE,"DXP Enterprises, Inc.",Rating: Strong Buy4.85,Rating: Buy4.00,Rating: Strong Buy5.00,1.14B,-,B,A-,C-,A+,A
TARS,"Tarsus Pharmaceuticals, Inc.",Rating: Strong Buy4.85,Rating: Buy4.00,Rating: Strong Buy4.55,1.94B,-,C,B,C-,A+,A+
CDE,"Coeur Mining, Inc.",Rating: Strong Buy4.85,Rating: Buy4.00,Rating: Buy4.14,2.59B,-,C-,A+,D+,A+,A
APLD,Applied Digital Corporation,Rating: Strong Buy4.85,Rating: Hold2.50,Rating: Strong Buy4.57,2.08B,-,B-,B-,D,A+,B-
QABSY,Qantas Airways Limited,Rating: Strong Buy4.85,Rating: Buy4.00,Rating: Strong Buy5.00,8.52B,-,A,C,A+,A,A-
SCHW,The Charles Schwab Corporation,Rating: Strong Buy4.85,Rating: Buy3.60,Rating: Buy3.72,151.20B,1.21,D+,C-,A+,B-,B
CFLT,"Confluent, Inc.",Rating: Strong Buy4.85,Rating: Hold3.40,Rating: Buy4.26,10.03B,-,D+,A+,C+,B,A-
BTCS,BTCS Inc.,Rating: Strong Buy4.84,Rating: Not Covered,Rating: Buy4.00,65.41M,-,B+,A-,B-,A+,C
BTI,British American Tobacco p.l.c.,Rating: Strong Buy4.84,Rating: Buy4.00,Rating: Hold2.75,84.16B,7.86,A,C,A+,B+,A+
KGC,Kinross Gold Corporation,Rating: Strong Buy4.84,Rating: Hold3.33,Rating: Buy3.86,12.04B,1.22,A-,A-,A,A,A-
BBU,Brookfield Business Partners L.P. LP Units,Rating: Strong Buy4.84,Rating: Not Covered,Rating: Buy3.85,5.66B,0.96,A,A+,A-,B+,A+
LRN,"Stride, Inc.",Rating: Strong Buy4.84,Rating: Buy4.00,Rating: Buy4.00,4.59B,-,C-,B+,B,A,A+
GRAB,Grab Holdings Limited,Rating: Strong Buy4.84,Rating: Buy4.20,Rating: Strong Buy4.57,20.86B,-,C,A+,A+,A,B+
GLUE,"Monte Rosa Therapeutics, Inc.",Rating: Strong Buy4.84,Rating: Strong Buy5.00,Rating: Strong Buy4.75,559.68M,-,C-,B,C+,A+,A-
IBN,ICICI Bank Limited,Rating: Strong Buy4.83,Rating: Buy4.00,Rating: Strong Buy4.75,108.74B,0.77,D,A-,A+,C-,B+
TRV,"The Travelers Companies, Inc.",Rating: Strong Buy4.83,Rating: Hold3.33,Rating: Hold3.20,60.54B,1.54,B-,A-,A+,C+,B+
PM,Philip Morris International Inc.,Rating: Strong Buy4.83,Rating: Buy3.75,Rating: Buy4.00,204.96B,3.98,C-,C,A+,A-,A-
PRCT,PROCEPT BioRobotics Corporation,Rating: Strong Buy4.83,Rating: Buy3.50,Rating: Buy4.37,5.26B,-,C-,C+,C,A+,A+
CM,Canadian Imperial Bank of Commerce,Rating: Strong Buy4.83,Rating: Buy3.50,Rating: Buy3.73,61.09B,4.12,A-,C-,A+,B,B+
DBSDY,DBS Group Holdings Ltd,Rating: Strong Buy4.83,Rating: Buy3.50,Rating: Hold3.00,88.82B,5.04,B+,C,A+,C+,A
FTDR,"Frontdoor, Inc.",Rating: Strong Buy4.83,Rating: Hold3.00,Rating: Buy4.00,4.41B,-,C-,A,A,A,A
WLKP,Westlake Chemical Partners LP Common Units,Rating: Strong Buy4.82,Rating: Strong Buy5.00,Rating: Buy4.00,835.86M,7.95,A+,A,A,C+,A-
KLTR,"Kaltura, Inc.",Rating: Strong Buy4.82,Rating: Not Covered,Rating: Hold3.28,323.34M,-,C,B-,D+,A,B+
UBER,"Uber Technologies, Inc.",Rating: Strong Buy4.82,Rating: Buy3.95,Rating: Buy4.48,150.81B,-,C+,A+,A+,C,A-
JD,"JD.com, Inc.",Rating: Strong Buy4.82,Rating: Buy3.75,Rating: Strong Buy4.55,53.91B,2.04,A-,B,A+,A-,B+
BYDDF,BYD Company Limited,Rating: Strong Buy4.82,Rating: Buy3.71,Rating: Buy4.00,106.64B,1.31,B,B-,A+,B+,A-
EWBC,"East West Bancorp, Inc.",Rating: Strong Buy4.82,Rating: Hold3.00,Rating: Strong Buy4.61,15.26B,2.00,D,C,B+,A,B+
EXEL,"Exelixis, Inc.",Rating: Strong Buy4.82,Rating: Buy4.00,Rating: Buy3.95,10.26B,-,D+,A,A+,A,B+
VRNA,Verona Pharma plc,Rating: Strong Buy4.81,Rating: Hold3.33,Rating: Strong Buy4.71,3.27B,-,C-,A+,C,A+,C
GAMB,Gambling.com Group Limited,Rating: Strong Buy4.81,Rating: Buy4.00,Rating: Strong Buy5.00,453.23M,-,C-,A+,C,A,A
RDVT,"Red Violet, Inc.",Rating: Strong Buy4.81,Rating: Buy4.00,Rating: Strong Buy5.00,503.26M,-,D+,C,B-,A,B+
LBRDA,Liberty Broadband Corporation,Rating: Strong Buy4.81,Rating: Hold3.00,Rating: Buy4.00,12.05B,-,A-,A,D+,A,A
AXGN,"Axogen, Inc.",Rating: Strong Buy4.81,Rating: Hold3.00,Rating: Strong Buy4.66,619.20M,-,C,B-,B+,A,A
VCTR,"Victory Capital Holdings, Inc.",Rating: Strong Buy4.81,Rating: Strong Buy5.00,Rating: Buy3.70,4.68B,1.99,B-,A,A-,A,B+
NCNO,"nCino, Inc.",Rating: Strong Buy4.81,Rating: Hold3.00,Rating: Buy3.93,4.84B,-,A+,A+,B,B+,B
BRK.A,Berkshire Hathaway Inc.,Rating: Strong Buy4.81,Rating: Hold3.35,Rating: Buy3.50,1.04T,-,B,A-,A+,C-,C+
OSPN,OneSpan Inc.,Rating: Strong Buy4.80,Rating: Hold3.00,Rating: Buy4.00,692.96M,-,C+,A,B,A-,A+
BSVN,Bank7 Corp.,Rating: Strong Buy4.80,Rating: Hold3.00,Rating: Buy3.66,445.02M,1.83,C,A-,C+,A,A+
UNTY,"Unity Bancorp, Inc.",Rating: Strong Buy4.80,Rating: Not Covered,Rating: Buy4.33,455.86M,1.12,D+,B-,C,A,A-
VIST,"Vista Energy, S.A.B. de C.V.",Rating: Strong Buy4.80,Rating: Buy4.00,Rating: Buy4.40,5.11B,-,B,A+,B+,A-,A+
MCY,Mercury General Corporation,Rating: Strong Buy4.80,Rating: Buy3.50,Rating: Buy4.00,4.37B,1.61,B+,A-,B+,A,B+
KC,Kingsoft Cloud Holdings Limited,Rating: Strong Buy4.80,Rating: Buy4.00,Rating: Buy4.11,1.62B,-,C,B-,D,A+,B-
FRFHF,Fairfax Financial Holdings Limited,Rating: Strong Buy4.80,Rating: Buy3.50,Rating: Buy3.71,30.89B,1.07,B-,A,B+,B-,A-
TGI,"Triumph Group, Inc.",Rating: Strong Buy4.79,Rating: Hold3.00,Rating: Hold3.44,1.45B,-,D,A+,B-,A,A
GAP,"The Gap, Inc.",Rating: Strong Buy4.79,Rating: Buy4.00,Rating: Buy3.65,9.13B,2.48,A+,A,B+,B,A+
DORM,"Dorman Products, Inc.",Rating: Strong Buy4.79,Rating: Not Covered,Rating: Buy3.75,4.27B,-,D,B-,B,A,A
QCRH,"QCR Holdings, Inc.",Rating: Strong Buy4.79,Rating: Not Covered,Rating: Buy4.40,1.58B,0.26,B-,C-,C+,A,A+
POWL,"Powell Industries, Inc.",Rating: Strong Buy4.79,Rating: Buy3.88,Rating: Buy4.00,3.15B,0.40,D,A-,B,A+,A+
ERJ,Embraer S.A.,Rating: Strong Buy4.79,Rating: Buy3.66,Rating: Buy4.13,7.02B,-,C-,C-,D+,A+,A-
CEIX,CONSOL Energy Inc.,Rating: Strong Buy4.79,Rating: Hold3.00,Rating: Strong Buy5.00,3.86B,0.38,C,C,B-,A,A+
PTGX,"Protagonist Therapeutics, Inc.",Rating: Strong Buy4.78,Rating: Hold3.00,Rating: Strong Buy4.62,2.68B,-,D+,B+,A+,A,A
SRAD,Sportradar Group AG,Rating: Strong Buy4.78,Rating: Buy4.00,Rating: Buy4.33,5.11B,-,D,A+,A-,A+,B+
NGD,New Gold Inc.,Rating: Strong Buy4.78,Rating: Buy3.50,Rating: Buy3.50,2.16B,-,C,A+,B,A+,A-
LSPD,Lightspeed Commerce Inc.,Rating: Strong Buy4.78,Rating: Not Covered,Rating: Buy3.81,2.85B,-,A+,A+,D+,B+,B
IMBBY,Imperial Brands PLC,Rating: Strong Buy4.78,Rating: Buy4.25,Rating: Hold3.00,27.75B,5.67,A,C-,A,A-,A+
XMTR,"Xometry, Inc.",Rating: Strong Buy4.78,Rating: Buy3.66,Rating: Buy3.70,1.54B,-,B,C+,D,A,A-
GNRC,Generac Holdings Inc.,Rating: Strong Buy4.78,Rating: Buy4.00,Rating: Buy3.70,11.33B,-,D+,C-,B+,A,A-
AEM,Agnico Eagle Mines Limited,Rating: Strong Buy4.77,Rating: Buy3.50,Rating: Buy4.27,41.79B,1.92,D,B-,A+,A,A+
COHR,Coherent Corp.,Rating: Strong Buy4.77,Rating: Buy4.00,Rating: Buy4.11,15.17B,-,C+,A-,C,A,B
HITI,High Tide Inc.,Rating: Strong Buy4.77,Rating: Strong Buy4.50,Rating: Strong Buy4.83,231.83M,-,B-,A,B+,A,A-
GLW,Corning Incorporated,Rating: Strong Buy4.77,Rating: Buy3.80,Rating: Buy3.93,41.29B,2.32,D+,C-,B+,B+,B+
RPD,"Rapid7, Inc.",Rating: Strong Buy4.77,Rating: Buy4.00,Rating: Buy3.64,2.69B,-,C,A,B,C,A-
STRT,Strattec Security Corporation,Rating: Strong Buy4.77,Rating: Hold3.00,Rating: Not Covered,163.68M,-,A-,A-,C,A,A+
GERN,Geron Corporation,Rating: Strong Buy4.77,Rating: Buy3.50,Rating: Strong Buy4.50,2.52B,-,C-,A+,C+,A-,A+
GTES,Gates Industrial Corporation plc,Rating: Strong Buy4.76,Rating: Buy4.00,Rating: Buy4.18,5.63B,-,B-,C-,B+,A-,A+
FUNC,First United Corporation,Rating: Strong Buy4.76,Rating: Not Covered,Rating: Hold3.00,230.02M,2.31,C-,C-,D+,A,B+
ATGE,Adtalem Global Education Inc.,Rating: Strong Buy4.76,Rating: Buy4.00,Rating: Strong Buy4.50,3.40B,-,C+,B,B+,A,A+
CNO,"CNO Financial Group, Inc.",Rating: Strong Buy4.76,Rating: Not Covered,Rating: Hold3.00,4.14B,1.54,C,B,B+,A-,A+
YMM,Full Truck Alliance Co. Ltd.,Rating: Strong Buy4.76,Rating: Not Covered,Rating: Strong Buy4.58,10.43B,1.45,D+,A,B-,A-,A-
RNA,"Avidity Biosciences, Inc.",Rating: Strong Buy4.76,Rating: Hold3.00,Rating: Strong Buy4.66,5.17B,-,C-,A,B-,A+,C+
JHG,Janus Henderson Group plc,Rating: Strong Buy4.76,Rating: Buy3.50,Rating: Hold3.00,7.15B,3.45,C,C+,B+,B+,A+
UTI,"Universal Technical Institute, Inc.",Rating: Strong Buy4.75,Rating: Strong Buy5.00,Rating: Strong Buy4.83,1.40B,-,D,A+,B,A+,B+
BILL,"BILL Holdings, Inc.",Rating: Strong Buy4.75,Rating: Buy4.00,Rating: Buy3.84,9.29B,-,C+,A,C,A,B-
WEDXF,The Westaim Corporation,Rating: Strong Buy4.75,Rating: Strong Buy5.00,Rating: Buy4.00,451.48M,-,B,B-,A+,C+,A+
ARQT,"Arcutis Biotherapeutics, Inc.",Rating: Strong Buy4.75,Rating: Buy4.00,Rating: Buy4.42,1.37B,-,C,A-,D,A+,A
LAUR,"Laureate Education, Inc.",Rating: Strong Buy4.75,Rating: Not Covered,Rating: Buy4.00,2.85B,-,A,A-,A-,A-,A-
ZBRA,Zebra Technologies Corporation,Rating: Strong Buy4.75,Rating: Hold3.00,Rating: Buy3.83,20.93B,-,C-,B+,B+,B+,A+
CASH,"Pathward Financial, Inc.",Rating: Strong Buy4.75,Rating: Buy4.00,Rating: Hold3.33,2.04B,0.24,D+,B-,B-,A,B+
NRIM,"Northrim BanCorp, Inc.",Rating: Strong Buy4.75,Rating: Hold3.00,Rating: Strong Buy5.00,470.80M,2.85,D+,C-,D+,A,B+
PAAS,Pan American Silver Corp.,Rating: Strong Buy4.74,Rating: Buy3.66,Rating: Buy4.37,7.88B,1.84,D,A+,B+,A-,A
TPR,"Tapestry, Inc.",Rating: Strong Buy4.74,Rating: Hold2.50,Rating: Buy4.00,14.20B,2.30,C-,B,A-,A,B+
ORI,Old Republic International Corporation,Rating: Strong Buy4.74,Rating: Hold3.00,Rating: Buy3.66,9.81B,2.67,B-,C+,A+,C+,A+
