Symbol,Company Name,Quant Rating,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
TOWN,TowneBank,Rating: Hold2.96,Rating: Not Covered,Rating: Buy3.50,2.72B,2.73,D+,C-,D+,B-,C-
FBMS,"The First Bancshares, Inc.",Rating: Hold2.96,Rating: Not Covered,Rating: Buy3.75,1.17B,2.67,C-,C,D+,B+,D-
TELNY,Telenor ASA,Rating: Hold2.96,Rating: Not Covered,Rating: Buy4.00,16.19B,7.43,B+,F,A-,C+,B-
AR,Antero Resources Corporation,Rating: Hold2.96,Rating: Buy4.00,Rating: Buy3.86,10.11B,-,D-,B-,C-,B+,C+
VZLA,Vizsla Silver Corp.,Rating: Hold2.96,Rating: Buy4.00,Rating: Buy4.33,492.93M,-,B-,B-,C-,B+,B-
AETUF,ARC Resources Ltd.,Rating: Hold2.95,Rating: Strong Buy5.00,Rating: Strong Buy4.68,10.78B,2.77,B,B,C+,B-,B
RIO,Rio Tinto Group,Rating: Hold2.95,Rating: Hold3.42,Rating: Strong Buy4.83,106.25B,6.98,A,F,A+,C-,D-
FXNC,First National Corporation,Rating: Hold2.95,Rating: Not Covered,Rating: Strong Buy5.00,222.28M,2.42,D+,F,D-,A-,F
PSX,Phillips 66,Rating: Hold2.95,Rating: Buy3.66,Rating: Buy4.00,55.07B,3.37,D-,D,B,C+,C-
LBRDK,Liberty Broadband Corporation,Rating: Hold2.95,Rating: Hold3.00,Rating: Buy3.66,12.05B,-,F,C,D+,A,F
ENLC,"EnLink Midstream, LLC",Rating: Hold2.95,Rating: Buy4.00,Rating: Hold3.33,7.74B,3.34,F,D+,C+,A-,C+
CWEN,"Clearway Energy, Inc.",Rating: Hold2.95,Rating: Buy4.00,Rating: Strong Buy4.50,5.83B,5.52,A-,D-,A+,B,D
CBNK,"Capital Bancorp, Inc.",Rating: Hold2.95,Rating: Not Covered,Rating: Strong Buy4.50,473.22M,1.26,D,A,C+,B,C-
MYRG,MYR Group Inc.,Rating: Hold2.95,Rating: Hold3.00,Rating: Buy4.00,2.54B,-,D,C-,D+,B,C+
STBFY,Suntory Beverage & Food Limited,Rating: Hold2.95,Rating: Buy4.00,Rating: Strong Buy5.00,10.32B,1.96,B+,B,B-,C,Rating: Not Covered
MTTR,"Matterport, Inc.",Rating: Hold2.95,Rating: Hold3.00,Rating: Hold3.00,1.55B,-,B,D+,D+,A-,F
BRC,Brady Corporation,Rating: Hold2.95,Rating: Buy4.00,Rating: Strong Buy5.00,3.58B,1.26,C-,D+,B-,B-,B-
SEER,"Seer, Inc.",Rating: Hold2.95,Rating: Not Covered,Rating: Buy3.66,147.42M,-,A,C,D-,A,D-
OFG,OFG Bancorp,Rating: Hold2.95,Rating: Buy4.00,Rating: Strong Buy4.50,2.11B,2.11,C+,C+,C+,C,C-
WES,"Western Midstream Partners, LP Common Units",Rating: Hold2.95,Rating: Buy4.11,Rating: Hold3.20,15.08B,8.07,B,B,A-,B,C+
KNX,Knight-Swift Transportation Holdings Inc.,Rating: Hold2.95,Rating: Hold3.00,Rating: Buy3.80,9.57B,1.05,D+,C+,C-,B-,C
SNDX,"Syndax Pharmaceuticals, Inc.",Rating: Hold2.95,Rating: Buy3.66,Rating: Strong Buy4.60,1.41B,-,C-,D+,C,C-,B
LZ,"LegalZoom.com, Inc.",Rating: Hold2.95,Rating: Buy4.00,Rating: Hold2.77,1.37B,-,C+,A,B+,D+,B
PAGS,PagSeguro Digital Ltd.,Rating: Hold2.95,Rating: Hold3.33,Rating: Buy4.05,2.43B,-,A,B-,F,F,B-
NMM,Navios Maritime Partners L.P. Common Units,Rating: Hold2.95,Rating: Buy4.00,Rating: Strong Buy5.00,1.46B,0.42,A,D,D-,B-,C+
EMN,Eastman Chemical Company,Rating: Hold2.95,Rating: Hold3.00,Rating: Buy3.84,12.08B,3.11,C,C-,B,B,C
TTNDY,Techtronic Industries Company Limited,Rating: Hold2.95,Rating: Buy4.00,Rating: Strong Buy5.00,26.14B,1.85,C+,B,A-,C+,B-
MSGE,Madison Square Garden Entertainment Corp.,Rating: Hold2.95,Rating: Buy4.00,Rating: Buy4.12,1.78B,-,C-,F,C-,C,B
SMPL,The Simply Good Foods Company,Rating: Hold2.95,Rating: Hold3.00,Rating: Buy4.27,4.00B,-,D,C-,B,B+,C
JAPAY,Japan Tobacco Inc.,Rating: Hold2.95,Rating: Hold3.00,Rating: Sell2.00,49.86B,4.78,B-,D-,A-,C+,B-
GRPN,"Groupon, Inc.",Rating: Hold2.95,Rating: Hold2.50,Rating: Buy3.66,372.23M,-,C+,B,C,F,A+
AMTX,"Aemetis, Inc.",Rating: Hold2.95,Rating: Sell2.00,Rating: Buy3.66,196.95M,-,F,B,D-,B+,A-
TLF,"Tandy Leather Factory, Inc.",Rating: Hold2.95,Rating: Not Covered,Rating: Buy4.00,35.12M,-,B,B-,C,C-,Rating: Not Covered
BYND,"Beyond Meat, Inc.",Rating: Hold2.95,Rating: Hold2.80,Rating: Sell2.25,329.28M,-,C,C+,D,D,A-
TRML,"Tourmaline Bio, Inc.",Rating: Hold2.94,Rating: Strong Buy5.00,Rating: Strong Buy4.71,657.99M,-,B,A,C+,A-,D+
BALY,Bally's Corporation,Rating: Hold2.94,Rating: Sell2.00,Rating: Hold3.00,722.24M,-,B,C+,D-,A-,D-
AIRS,"AirSculpt Technologies, Inc.",Rating: Hold2.94,Rating: Not Covered,Rating: Hold3.00,384.05M,-,D-,D+,B+,A,D-
UNLYF,Unilever PLC,Rating: Hold2.94,Rating: Buy3.66,Rating: Strong Buy5.00,148.55B,3.17,C-,C+,A+,B,F
CODX,"Co-Diagnostics, Inc.",Rating: Hold2.94,Rating: Not Covered,Rating: Hold3.00,29.90M,-,A-,D+,D-,C-,A-
CDMO,"Avid Bioservices, Inc.",Rating: Hold2.94,Rating: Buy4.00,Rating: Buy3.50,789.85M,-,D-,A-,B-,A,F
LFLY,"Leafly Holdings, Inc.",Rating: Hold2.94,Rating: Not Covered,Rating: Strong Buy5.00,4.53M,-,B,B-,D,F,A+
FE,FirstEnergy Corp.,Rating: Hold2.94,Rating: Hold3.00,Rating: Buy3.63,24.56B,3.95,C+,B+,B-,C,D-
PLNH,Planet 13 Holdings Inc.,Rating: Hold2.94,Rating: Not Covered,Rating: Strong Buy5.00,134.48M,-,D,A,B+,D+,A
VYX,NCR Voyix Corporation,Rating: Hold2.94,Rating: Not Covered,Rating: Buy4.33,2.12B,-,D-,F,B-,C,B-
NDSN,Nordson Corporation,Rating: Hold2.94,Rating: Hold3.00,Rating: Buy3.55,14.83B,1.09,D-,C-,A-,C,B-
INVA,"Innoviva, Inc.",Rating: Hold2.94,Rating: Hold3.00,Rating: Buy4.00,1.19B,-,B-,A+,A+,B+,D-
INTC,Intel Corporation,Rating: Hold2.94,Rating: Buy3.70,Rating: Hold3.02,102.00B,-,D+,F,A,D,D-
MAKSY,Marks and Spencer Group plc,Rating: Hold2.94,Rating: Not Covered,Rating: Strong Buy5.00,9.84B,0.78,B,B-,B-,A,D-
OTSKY,"Otsuka Holdings Co., Ltd.",Rating: Hold2.94,Rating: Not Covered,Rating: Strong Buy5.00,30.88B,1.42,C,A,A,A-,F
TDOC,"Teladoc Health, Inc.",Rating: Hold2.94,Rating: Buy3.60,Rating: Hold3.38,1.97B,-,A,D-,B+,B+,C-
PHUN,"Phunware, Inc.",Rating: Hold2.94,Rating: Sell2.00,Rating: Buy4.00,87.71M,-,B,C+,F,D,A-
BRLT,"Brilliant Earth Group, Inc.",Rating: Hold2.94,Rating: Not Covered,Rating: Buy4.00,183.31M,-,A+,D+,D+,D,B+
SLGN,Silgan Holdings Inc.,Rating: Hold2.94,Rating: Hold3.00,Rating: Buy4.30,6.14B,1.31,C-,C-,B+,A-,C
IFCZF,Intact Financial Corporation,Rating: Hold2.94,Rating: Hold3.00,Rating: Buy3.83,33.89B,1.81,D,B,B+,D+,D+
JAKK,"JAKKS Pacific, Inc.",Rating: Hold2.94,Rating: Buy3.50,Rating: Strong Buy4.66,307.73M,-,A-,D-,D,B,B-
CVEO,Civeo Corporation,Rating: Hold2.94,Rating: Buy4.00,Rating: Strong Buy5.00,320.63M,4.30,A,A+,B-,D+,B-
ZD,"Ziff Davis, Inc.",Rating: Hold2.94,Rating: Not Covered,Rating: Buy4.00,2.47B,-,C,D,B+,B-,B
MGNX,"MacroGenics, Inc.",Rating: Hold2.94,Rating: Not Covered,Rating: Buy3.63,228.46M,-,A+,C-,C+,D+,A
POOL,Pool Corporation,Rating: Hold2.94,Rating: Hold2.50,Rating: Buy3.72,14.34B,1.25,F,D-,B+,C+,B
CGBD,Carlyle Secured Lending Inc.,Rating: Hold2.94,Rating: Buy4.00,Rating: Hold3.20,881.70M,9.06,A,F,A+,D,D-
TKC,Turkcell Iletisim Hizmetleri A.S.,Rating: Hold2.94,Rating: Not Covered,Rating: Strong Buy5.00,5.85B,1.33,B+,B-,B+,B-,C+
BHVN,Biohaven Ltd.,Rating: Hold2.94,Rating: Buy4.00,Rating: Strong Buy4.66,4.69B,-,B-,B-,F,A-,C+
SUBCY,Subsea 7 S.A.,Rating: Hold2.94,Rating: Not Covered,Rating: Buy4.00,4.71B,3.53,C,A,C,C,Rating: Not Covered
WD,"Walker & Dunlop, Inc.",Rating: Hold2.93,Rating: Not Covered,Rating: Hold3.40,3.74B,2.35,D+,D+,D,D+,C
NXST,"Nexstar Media Group, Inc.",Rating: Hold2.93,Rating: Strong Buy5.00,Rating: Buy4.30,5.31B,3.95,A,A-,B+,B-,D
VWAPY,Volkswagen AG,Rating: Hold2.93,Rating: Buy3.57,Rating: Buy4.00,43.19B,11.65,A+,F,A+,D-,D-
SWK,"Stanley Black & Decker, Inc.",Rating: Hold2.93,Rating: Buy4.00,Rating: Hold3.15,13.84B,3.62,A,B+,B,C-,C
SST,"System1, Inc.",Rating: Hold2.93,Rating: Not Covered,Rating: Strong Buy5.00,92.83M,-,B-,C-,F,F,A+
TAK,Takeda Pharmaceutical Company Limited,Rating: Hold2.93,Rating: Buy4.00,Rating: Strong Buy4.50,42.94B,-,A+,A,A+,B-,F
WSFS,WSFS Financial Corporation,Rating: Hold2.93,Rating: Not Covered,Rating: Buy3.80,3.56B,0.99,D-,C-,C-,B,D+
IBTX,"Independent Bank Group, Inc.",Rating: Hold2.93,Rating: Not Covered,Rating: Buy3.50,2.79B,2.26,D-,D,D-,A-,D-
SM,SM Energy Company,Rating: Hold2.93,Rating: Buy4.00,Rating: Buy4.07,5.13B,1.65,B+,A-,B+,C+,C+
MPWR,"Monolithic Power Systems, Inc.",Rating: Hold2.93,Rating: Hold3.25,Rating: Buy4.18,27.33B,0.85,D-,B+,A,D-,B
IVPAF,Ivanhoe Mines Ltd.,Rating: Hold2.93,Rating: Not Covered,Rating: Strong Buy4.64,17.83B,-,A-,A-,C-,B,C
ODFL,"Old Dominion Freight Line, Inc.",Rating: Hold2.93,Rating: Hold3.00,Rating: Hold3.16,47.85B,0.44,F,A-,A,B-,D-
ENVX,Enovix Corporation,Rating: Hold2.93,Rating: Hold3.33,Rating: Strong Buy4.53,1.74B,-,B-,C,D-,D,B+
SR,Spire Inc.,Rating: Hold2.93,Rating: Hold3.00,Rating: Hold3.00,4.22B,4.13,B+,B-,B-,B+,D-
ALCO,"Alico, Inc.",Rating: Hold2.93,Rating: Buy4.00,Rating: Buy4.00,203.38M,0.75,A-,B,F,C+,Rating: Not Covered
OSCR,"Oscar Health, Inc.",Rating: Hold2.93,Rating: Hold3.00,Rating: Buy3.83,4.16B,-,B-,B,B,D,C+
HOPE,"Hope Bancorp, Inc.",Rating: Hold2.93,Rating: Not Covered,Rating: Hold3.40,1.66B,4.07,B-,D-,D+,C+,D+
LYG,Lloyds Banking Group plc,Rating: Hold2.93,Rating: Buy4.00,Rating: Buy4.00,40.81B,5.54,B+,B,F,D,Rating: Not Covered
SBSI,"Southside Bancshares, Inc.",Rating: Hold2.93,Rating: Buy4.00,Rating: Hold3.00,1.07B,4.09,B-,C-,C-,C,C-
AGRO,Adecoagro S.A.,Rating: Hold2.93,Rating: Hold3.00,Rating: Hold3.42,1.08B,3.18,A,D+,C-,B-,C+
GENK,"GEN Restaurant Group, Inc.",Rating: Hold2.93,Rating: Strong Buy5.00,Rating: Strong Buy4.66,269.62M,-,A,B+,D+,D+,B+
DERM,Journey Medical Corporation,Rating: Hold2.93,Rating: Not Covered,Rating: Strong Buy4.75,115.94M,-,C+,B-,C-,A,D+
MITSY,"Mitsui & Co., Ltd.",Rating: Hold2.93,Rating: Hold3.00,Rating: Strong Buy5.00,61.31B,-,A-,A+,A+,D+,C-
NVCT,"Nuvectis Pharma, Inc.",Rating: Hold2.93,Rating: Not Covered,Rating: Buy4.33,102.01M,-,B,F,D,D+,A-
SLDP,"Solid Power, Inc.",Rating: Hold2.93,Rating: Sell1.66,Rating: Hold2.66,202.03M,-,C+,C+,F,D-,A+
GLP,Global Partners LP Common Units,Rating: Hold2.93,Rating: Not Covered,Rating: Buy4.00,1.86B,5.22,C+,D,D+,A-,C-
ACA,"Arcosa, Inc.",Rating: Hold2.93,Rating: Hold3.00,Rating: Strong Buy4.83,5.24B,0.19,D-,B+,C,B+,C
STLA,Stellantis N.V.,Rating: Hold2.93,Rating: Buy3.50,Rating: Buy3.85,36.79B,12.90,A+,F,A+,F,F
WLY,"John Wiley & Sons, Inc.",Rating: Hold2.93,Rating: Hold3.00,Rating: Buy4.00,2.85B,2.68,D+,D-,B-,A-,D
UNCY,"Unicycive Therapeutics, Inc.",Rating: Hold2.92,Rating: Not Covered,Rating: Strong Buy4.50,70.36M,-,B+,A+,A+,B-,B-
DOLE,Dole plc,Rating: Hold2.92,Rating: Buy4.00,Rating: Buy4.25,1.43B,2.13,B+,B,C-,B+,C
X,United States Steel Corporation,Rating: Hold2.92,Rating: Hold3.40,Rating: Buy4.00,9.11B,0.49,D+,D-,C-,C+,B
LULU,Lululemon Athletica Inc.,Rating: Hold2.92,Rating: Buy3.76,Rating: Buy3.86,39.23B,-,D,C,A,C,C+
RIOT,"Riot Platforms, Inc.",Rating: Hold2.92,Rating: Hold2.50,Rating: Strong Buy4.64,4.11B,-,C,A+,F,C+,D+
NTCT,"NetScout Systems, Inc.",Rating: Hold2.92,Rating: Not Covered,Rating: Hold3.00,1.58B,-,B-,C-,C+,C+,C+
EBC,"Eastern Bankshares, Inc.",Rating: Hold2.92,Rating: Buy4.00,Rating: Buy4.00,3.77B,2.36,D,B-,C+,B,D
GPOR,Gulfport Energy Corporation,Rating: Hold2.92,Rating: Buy4.00,Rating: Buy4.10,3.14B,-,C,F,B,A-,F
HLN,Haleon plc,Rating: Hold2.92,Rating: Hold2.50,Rating: Buy4.25,43.60B,1.63,D-,D,A-,B,C+
QSR,Restaurant Brands International Inc.,Rating: Hold2.92,Rating: Buy4.33,Rating: Buy4.06,31.63B,3.26,C-,C-,A,C,C-
TRAUF,Transurban Group Stapled Securities,Rating: Hold2.92,Rating: Not Covered,Rating: Hold3.00,-,4.73,C+,A+,C,C,B-
PFC,Premier Financial Corp.,Rating: Hold2.92,Rating: Not Covered,Rating: Buy3.50,999.25M,4.45,B,D,D+,B,D
SXI,Standex International Corporation,Rating: Hold2.92,Rating: Hold3.00,Rating: Strong Buy4.60,2.51B,0.59,F,C+,B-,B+,C
PKOH,Park-Ohio Holdings Corp.,Rating: Hold2.92,Rating: Not Covered,Rating: Hold3.00,428.11M,1.56,A-,C+,C-,B,C
TPVG,TriplePoint Venture Growth,Rating: Hold2.92,Rating: Hold3.20,Rating: Hold3.00,328.00M,18.32,A+,F,A,F,C
WWD,"Woodward, Inc.",Rating: Hold2.92,Rating: Buy4.00,Rating: Buy3.58,10.59B,0.56,F,B+,C+,B,C
CLLS,Cellectis S.A.,Rating: Hold2.92,Rating: Buy4.00,Rating: Buy4.33,204.31M,-,A+,A-,C,C,B
MOFG,"MidWestOne Financial Group, Inc.",Rating: Hold2.92,Rating: Not Covered,Rating: Buy3.80,683.29M,2.95,C-,D+,D-,B+,F
KKPNY,Koninklijke KPN N.V.,Rating: Hold2.92,Rating: Hold3.00,Rating: Not Covered,15.07B,4.64,B,D+,A-,C,C+
ABG,"Asbury Automotive Group, Inc.",Rating: Hold2.92,Rating: Strong Buy5.00,Rating: Hold3.33,5.09B,-,B-,C+,C-,B,C-
BG,Bunge Global SA,Rating: Hold2.92,Rating: Buy4.00,Rating: Buy4.10,12.41B,3.04,A-,F,B,D+,B-
GD,General Dynamics Corporation,Rating: Hold2.92,Rating: Buy3.75,Rating: Buy4.20,77.50B,1.98,C,C,A,C-,D-
QSI,Quantum-Si incorporated,Rating: Hold2.92,Rating: Hold3.00,Rating: Buy3.50,162.69M,-,A-,D+,B-,B-,B
PESI,"Perma-Fix Environmental Services, Inc.",Rating: Hold2.92,Rating: Buy4.00,Rating: Strong Buy5.00,216.84M,-,B,A-,D,A,D+
OXSQ,Oxford Square Capital Corp.,Rating: Hold2.92,Rating: Not Covered,Rating: Hold3.00,181.95M,15.67,A+,A-,A+,F,D-
SHBI,"Shore Bancshares, Inc.",Rating: Hold2.92,Rating: Not Covered,Rating: Hold3.00,547.89M,2.92,C+,D+,D+,B+,F
MMLP,Martin Midstream Partners L.P. Common Units,Rating: Hold2.92,Rating: Hold3.00,Rating: Hold3.00,158.81M,0.50,D+,C,D+,A,F
WFG,West Fraser Timber Co. Ltd.,Rating: Hold2.92,Rating: Not Covered,Rating: Buy4.28,7.87B,1.26,D,B+,C+,B+,C
AVY,Avery Dennison Corporation,Rating: Hold2.92,Rating: Buy4.00,Rating: Buy3.85,16.48B,1.65,D,B-,B+,C-,B
WSO,"Watsco, Inc.",Rating: Hold2.92,Rating: Hold3.33,Rating: Hold3.13,20.77B,1.90,D+,C,B,B,D
UVE,"Universal Insurance Holdings, Inc.",Rating: Hold2.91,Rating: Buy3.50,Rating: Buy4.00,644.64M,2.81,A,B+,B,C-,D
RLGT,"Radiant Logistics, Inc.",Rating: Hold2.91,Rating: Buy4.00,Rating: Strong Buy5.00,346.65M,-,C,B-,D+,B+,D
CROX,"Crocs, Inc.",Rating: Hold2.91,Rating: Buy4.00,Rating: Buy4.12,6.15B,-,B+,D,A,D,B
HCMLY,Holcim AG,Rating: Hold2.91,Rating: Hold3.00,Rating: Hold3.00,56.50B,2.83,C,D+,A+,B+,C-
SBCF,Seacoast Banking Corporation of Florida,Rating: Hold2.91,Rating: Not Covered,Rating: Hold3.33,2.56B,2.38,D,D+,C-,C+,D+
ROK,"Rockwell Automation, Inc.",Rating: Hold2.91,Rating: Hold3.00,Rating: Hold3.35,33.30B,1.72,D-,D,B,C+,C-
WYNN,"Wynn Resorts, Limited",Rating: Hold2.91,Rating: Buy3.66,Rating: Buy4.47,9.98B,1.09,D+,B+,D+,C+,C-
ORANY,Orange S.A.,Rating: Hold2.91,Rating: Buy4.00,Rating: Strong Buy4.50,28.31B,7.29,A,D,A+,C-,F
PDFS,"PDF Solutions, Inc.",Rating: Hold2.91,Rating: Hold3.00,Rating: Strong Buy5.00,1.18B,-,F,A,C+,C-,C+
VMC,Vulcan Materials Company,Rating: Hold2.91,Rating: Buy4.00,Rating: Buy4.08,37.82B,0.64,F,B-,A,B+,C-
PEYUF,Peyto Exploration & Development Corp.,Rating: Hold2.91,Rating: Strong Buy5.00,Rating: Buy4.00,2.33B,8.20,A-,C+,C+,B,D+
ESI,Element Solutions Inc,Rating: Hold2.91,Rating: Hold3.00,Rating: Buy4.36,6.89B,1.12,D-,C-,B,B+,C+
ARREF,Amerigo Resources Ltd.,Rating: Hold2.91,Rating: Hold3.00,Rating: Not Covered,202.16M,7.18,A+,A+,A-,C,D+
CGAU,Centerra Gold Inc.,Rating: Hold2.91,Rating: Buy4.00,Rating: Buy3.72,1.27B,3.41,A,D+,A-,C-,B
SNX,TD SYNNEX Corporation,Rating: Hold2.91,Rating: Buy4.00,Rating: Buy4.33,10.19B,1.34,A-,D,C+,C,D+
MBC,"MasterBrand, Inc.",Rating: Hold2.91,Rating: Buy4.00,Rating: Buy4.00,2.18B,-,B+,D,C,C+,C+
NEXT,NextDecade Corporation,Rating: Hold2.91,Rating: Not Covered,Rating: Buy4.00,1.87B,-,C+,B+,F,A-,F
ARLO,"Arlo Technologies, Inc.",Rating: Hold2.91,Rating: Buy4.00,Rating: Buy4.40,1.13B,-,C-,B,C,C+,C+
LRMR,"Larimar Therapeutics, Inc.",Rating: Hold2.91,Rating: Buy4.00,Rating: Strong Buy4.81,423.68M,-,B,A,C,C,B+
NBIX,"Neurocrine Biosciences, Inc.",Rating: Hold2.91,Rating: Buy4.00,Rating: Buy4.40,12.82B,-,A,A+,A,C+,D
ENTO,"Entero Therapeutics, Inc.",Rating: Hold2.91,Rating: Not Covered,Rating: Buy4.00,2.16M,-,A-,A+,C,D-,C
DNB,"Dun & Bradstreet Holdings, Inc.",Rating: Hold2.91,Rating: Buy4.00,Rating: Buy3.90,5.61B,1.57,D+,D-,B+,B-,C
PRKS,United Parks & Resorts Inc.,Rating: Hold2.91,Rating: Strong Buy5.00,Rating: Buy3.90,3.19B,-,B,D+,C+,B,D+
COVTY,Covestro AG,Rating: Hold2.91,Rating: Not Covered,Rating: Hold3.00,11.45B,-,D,B-,C,B-,B-
FSLR,"First Solar, Inc.",Rating: Hold2.91,Rating: Buy4.10,Rating: Buy4.25,20.62B,-,A+,A,C-,C-,D+
BHP,BHP Group Limited,Rating: Hold2.91,Rating: Buy3.50,Rating: Buy3.83,131.12B,5.64,B+,F,A+,D+,D+
OII,"Oceaneering International, Inc.",Rating: Hold2.91,Rating: Not Covered,Rating: Buy4.00,3.01B,-,D-,A,C-,B+,D-
MPC,Marathon Petroleum Corporation,Rating: Hold2.91,Rating: Buy3.60,Rating: Buy3.78,49.93B,2.18,C-,D-,A-,C-,D
AOSL,Alpha and Omega Semiconductor Limited,Rating: Hold2.91,Rating: Sell2.00,Rating: Buy3.66,1.05B,-,C-,C,C-,A-,F
NRSN,NeuroSense Therapeutics Ltd.,Rating: Hold2.90,Rating: Not Covered,Rating: Strong Buy4.50,18.10M,-,Rating: Not Covered,B+,F,B-,A-
STLD,"Steel Dynamics, Inc.",Rating: Hold2.90,Rating: Strong Buy5.00,Rating: Hold3.46,21.90B,1.25,D+,D-,A-,B,C
UUUU,Energy Fuels Inc.,Rating: Hold2.90,Rating: Buy3.80,Rating: Buy4.37,1.34B,-,D,B,F,B+,A-
BLTE,"Belite Bio, Inc",Rating: Hold2.90,Rating: Hold3.00,Rating: Strong Buy4.60,2.08B,-,B+,A,C,A,D
JBT,John Bean Technologies Corporation,Rating: Hold2.90,Rating: Not Covered,Rating: Buy3.75,3.99B,0.32,D-,A,D+,B+,C-
HAE,Haemonetics Corporation,Rating: Hold2.90,Rating: Not Covered,Rating: Buy4.10,4.41B,-,F,B+,A-,B+,C-
ACI,"Albertsons Companies, Inc.",Rating: Hold2.90,Rating: Strong Buy4.50,Rating: Buy3.61,11.37B,2.45,A-,F,B+,C,C-
B,Barnes Group Inc.,Rating: Hold2.90,Rating: Not Covered,Rating: Hold3.25,2.39B,1.37,C-,A+,C+,B+,D-
PBA,Pembina Pipeline Corporation,Rating: Hold2.90,Rating: Buy3.50,Rating: Buy4.12,23.92B,4.86,C-,D-,B,B,C
MGA,Magna International Inc.,Rating: Hold2.90,Rating: Not Covered,Rating: Hold3.47,12.92B,4.23,A,B-,A-,C,C-
HAFN,Hafnia Limited,Rating: Hold2.90,Rating: Strong Buy5.00,Rating: Strong Buy5.00,2.83B,21.20,A+,C,B,D-,Rating: Not Covered
IPMLF,Imperial Metals Corporation,Rating: Hold2.90,Rating: Not Covered,Rating: Strong Buy5.00,244.69M,-,A,B+,D,D,Rating: Not Covered
KRT,Karat Packaging Inc.,Rating: Hold2.90,Rating: Not Covered,Rating: Strong Buy4.50,609.93M,4.60,B-,D+,B-,B-,C+
LNN,Lindsay Corporation,Rating: Hold2.90,Rating: Sell2.00,Rating: Buy3.50,1.43B,1.08,D-,F,B-,C+,B-
