exchange_ticker	info
NasdaqGS:ACAD	NasdaqGS:ACAD;LSE:0A4W;DB:DR6;BMV:ACAD*
NasdaqCM:AXDX	NasdaqCM:AXDX;LSE:0H8E;BMV:AXDX*
NasdaqGM:XLRN	NasdaqGM:XLRN;DB:0A3
NasdaqGS:ACCD	NasdaqGS:ACCD;DB:4NE1
NasdaqGS:ARAY	NasdaqGS:ARAY;LSE:0H8I;DB:XEJ
NasdaqCM:ACEV	NasdaqCM:ACEV;NasdaqCM:ACEV.U
NasdaqCM:ACBA.U	NasdaqCM:ACBA.U
NasdaqGM:ACRX	NasdaqGM:ACRX;DB:R5X
NasdaqCM:ACER	NasdaqCM:ACER;DB:P6NP
NasdaqCM:ACHV	NasdaqCM:ACHV;DB:SP4P
NasdaqGS:ACHL	NasdaqGS:ACHL;MUN:698
NasdaqGS:ACIW	NasdaqGS:ACIW;DB:TSA
NasdaqCM:ACAC	NasdaqCM:ACAC;NasdaqCM:ACAC.U
NasdaqCM:ACKI.U	NasdaqCM:ACKI.U;NasdaqCM:ACKI.T
NasdaqGS:ACRS	NasdaqGS:ACRS;LSE:0H8T;DB:8AT
NasdaqGM:ACMR	NasdaqGM:ACMR;DB:813
NasdaqCM:ACNB	NasdaqCM:ACNB
NasdaqCM:STWO	NasdaqCM:STWO;NasdaqCM:STWO.U
NasdaqGS:ACOR	NasdaqGS:ACOR;DB:CDG0
NasdaqGS:ATVI	NasdaqGS:ATVI;XTRA:AZT;WBAG:ATVI;BOVESPA:ATVI34;SWX:AIY;LSE:0H8X;DB:AIY;BMV:ATVI*
NasdaqGS:AFIB	NasdaqGS:AFIB
NasdaqGS:ACVA	NasdaqGS:ACVA
NasdaqGM:ADAG	NasdaqGM:ADAG;DB:978
NasdaqGM:ADMS	NasdaqGM:ADMS;DB:136
NasdaqCM:ADMP	NasdaqCM:ADMP;LSE:0A4X;DB:CY3B
NasdaqCM:AHCO	NasdaqCM:AHCO
NasdaqGS:ADAP	NasdaqGS:ADAP;DB:473A
NasdaqGS:ADPT	NasdaqGS:ADPT;XTRA:ADPT;MUN:1HM;DB:1HM
NasdaqGS:ADUS	NasdaqGS:ADUS;DB:A41
NasdaqGM:AEY	NasdaqGM:AEY
NasdaqCM:ADIL	NasdaqCM:ADIL
NasdaqGM:ACET	NasdaqGM:ACET;LSE:0HX7;DB:1IJA
NasdaqCM:ADTX	NasdaqCM:ADTX
NasdaqGM:ADMA	NasdaqGM:ADMA
NasdaqGS:ADBE	NasdaqGS:ADBE;XTRA:ADB;BVL:ADBE;SWX:ADBE;BASE:ADBE;WBAG:ADBE;BOVESPA:ADBE34;DB:ADB;BMV:ADBE*
NasdaqGS:ADTN	NasdaqGS:ADTN;DB:ATN
NasdaqGM:ADES	NasdaqGM:ADES;DB:OXQ1
NasdaqGS:AEIS	NasdaqGS:AEIS;DB:AVX
NasdaqGS:AMD	NasdaqGS:AMD;XTRA:AMD;SWX:AMD;SWX:000903491;BASE:AMD;WBAG:AMD;BOVESPA:A1MD34;UKR:AMD;LSE:0QZD;DB:AMD;BMV:AMD*
NasdaqGS:ADV	NasdaqGS:ADV;DB:6CPA
NasdaqCM:ADXS	NasdaqCM:ADXS;DB:FAD2
NasdaqCM:ADN	NasdaqCM:ADN
NasdaqGM:ADVM	NasdaqGM:ADVM;LSE:0HA3;DB:AVU
NasdaqGS:AEGN	NasdaqGS:AEGN;DB:IT3A
NasdaqGM:AGLE	NasdaqGM:AGLE
NasdaqCM:AEHR	NasdaqCM:AEHR;DB:AYB
NasdaqGM:AMTX	NasdaqGM:AMTX;DB:DW51
NasdaqCM:ARBG	NasdaqCM:ARBG;NasdaqCM:ARBG.U
NasdaqGM:AERI	NasdaqGM:AERI;DB:0P0
NasdaqGS:AVAV	NasdaqGS:AVAV;LSE:0HAL;DB:JPX
NasdaqCM:ARPO	NasdaqCM:ARPO;BST:335;DB:335
NasdaqCM:ASLE	NasdaqCM:ASLE;NasdaqCM:ASLE.W
NasdaqGM:AIH	NasdaqGM:AIH;DB:3FMA
NasdaqCM:AEMD	NasdaqCM:AEMD;BST:EJU;DB:EJU
NasdaqCM:AFAQ.U	NasdaqCM:AFAQ.U
NasdaqGM:AFCG	NasdaqGM:AFCG;MUN:0FG
NasdaqGM:AFMD	NasdaqGM:AFMD;LSE:0HL9;DB:A28
NasdaqCM:AFBI	NasdaqCM:AFBI;DB:5610
NasdaqGS:AFRM	NasdaqGS:AFRM;BST:78P;BMV:AFRM*
NasdaqGS:AFYA	NasdaqGS:AFYA;DB:1AY
NasdaqCM:AGBA	NasdaqCM:AGBA;NasdaqCM:AGBA.U;DB:A2PKSJ;DB:AA7B
NasdaqCM:AGEN	NasdaqCM:AGEN;DB:AJ81
NasdaqCM:AGGR	NasdaqCM:AGGR;NasdaqCM:AGGR.U
NasdaqCM:AGRX	NasdaqCM:AGRX;DB:0AL
NasdaqGS:AGYS	NasdaqGS:AGYS;DB:PS3
NasdaqGS:AGIO	NasdaqGS:AGIO;LSE:0HB0;DB:8AP;BMV:AGIO*
NasdaqCM:AGMH	NasdaqCM:AGMH
NasdaqGS:AGNC	NasdaqGS:AGNC;NasdaqGS:AGNC.N;NasdaqGS:AGNC.M;NasdaqGS:AGNC.O;NasdaqGS:AGNC.P;LSE:0H6E;DB:4OQ1;BMV:AGNC*
NasdaqGS:API	NasdaqGS:API;DB:9AG1
NasdaqCM:AGFY	NasdaqCM:AGFY
NasdaqGS:AGFS	NasdaqGS:AGFS;LSE:0HB7;DB:35X
NasdaqCM:AIKI	NasdaqCM:AIKI;DB:BP2M
NasdaqCM:ALRN	NasdaqCM:ALRN;BST:015;DB:015
NasdaqGM:AIRT	NasdaqGM:AIRT;NasdaqGM:AIRT.P
NasdaqGS:ATSG	NasdaqGS:ATSG;DB:AW8;BMV:ATSG*
NasdaqGS:ABNB	NasdaqGS:ABNB;XTRA:ABNB;WBAG:ABNB;BOVESPA:AIRB34;LSE:0A8C;DB:6Z1;BMV:ABNB*
NasdaqCM:AIRG	NasdaqCM:AIRG;DB:6LV
NasdaqCM:ANTE	NasdaqCM:ANTE;DB:4ARB
NasdaqGS:AKAM	NasdaqGS:AKAM;XTRA:AK3;WBAG:AKAM;BOVESPA:A1KA34;LSE:0HBQ;DB:AK3;BMV:AKAM*
NasdaqCM:AKTX	NasdaqCM:AKTX;DB:CLAB
NasdaqGM:AKBA	NasdaqGM:AKBA;DB:AX9
NasdaqCM:KERN	NasdaqCM:KERN
NasdaqGS:AKRO	NasdaqGS:AKRO;DB:0K4
NasdaqGS:AKUS	NasdaqGS:AKUS
NasdaqCM:AKTS	NasdaqCM:AKTS;DB:AVH
NasdaqGS:AKYA	NasdaqGS:AKYA
NasdaqGS:ALRM	NasdaqGS:ALRM;LSE:0HC2;DB:3RL
NasdaqGS:ALSK	NasdaqGS:ALSK
NasdaqCM:ALAC	NasdaqCM:ALAC;NasdaqCM:ALAC.U;DB:AJG
NasdaqCM:ALBO	NasdaqCM:ALBO;DB:BDQM
NasdaqCM:ALDX	NasdaqCM:ALDX;DB:137
NasdaqGS:ALEC	NasdaqGS:ALEC;DB:0Z2
NasdaqCM:ALRS	NasdaqCM:ALRS;DB:5QD
NasdaqGS:ALXN	NasdaqGS:ALXN;XTRA:AXP;WBAG:ALXN;BOVESPA:A1LX34;LSE:0QZM;DB:AXP;BMV:ALXN*
NasdaqGS:ALCO	NasdaqGS:ALCO
NasdaqGS:ALGN	NasdaqGS:ALGN;XTRA:ALGN;WBAG:ALGN;BOVESPA:A1LG34;LSE:0HCK;DB:AFW;BMV:ALGN*
NasdaqGS:ALHC	NasdaqGS:ALHC
NasdaqGS:ALGS	NasdaqGS:ALGS;DB:5WK
NasdaqGM:ALIM	NasdaqGM:ALIM;DB:ASZ1
NasdaqGM:ALJJ	NasdaqGM:ALJJ
NasdaqGS:ALKT	NasdaqGS:ALKT
NasdaqGS:ALKS	NasdaqGS:ALKS;DB:8AK
NasdaqCM:KURI	NasdaqCM:KURI;NasdaqCM:KURI.U
NasdaqGS:ALLK	NasdaqGS:ALLK;DB:37Z
NasdaqGM:ABTX	NasdaqGM:ABTX
NasdaqGS:ALGT	NasdaqGS:ALGT;DB:AGH
NasdaqGS:ALGM	NasdaqGS:ALGM
NasdaqGS:ALNA	NasdaqGS:ALNA;DB:0PJ
NasdaqGS:ARLP	NasdaqGS:ARLP;DB:AR6
NasdaqGS:LNT	NasdaqGS:LNT;BOVESPA:A1EN34;LSE:0HCT;DB:AY1
NasdaqCM:AESE	NasdaqCM:AESE
NasdaqCM:AHPI	NasdaqCM:AHPI
NasdaqGM:AMOT	NasdaqGM:AMOT;DB:HWY
NasdaqGS:ALLO	NasdaqGS:ALLO
NasdaqGS:ALLT	NasdaqGS:ALLT;LSE:0YI6;DB:AG6;TASE:ALLT
NasdaqGS:ALVR	NasdaqGS:ALVR
NasdaqGS:MDRX	NasdaqGS:MDRX;DB:AL21
NasdaqGS:ALNY	NasdaqGS:ALNY;XTRA:DUL;BOVESPA:A1LN34;LSE:0HD2;DB:DUL;BMV:ALNY*
NasdaqGS:AOSL	NasdaqGS:AOSL;DB:AOY;BMV:AOSLN
NasdaqCM:ASPC	NasdaqCM:ASPC;NasdaqCM:ASPC.U
NasdaqCM:AHAC	NasdaqCM:AHAC;NasdaqCM:AHAC.U
NasdaqGS:GOOG.L	NasdaqGS:GOOG.L
NasdaqGS:ATEC	NasdaqGS:ATEC;DB:L1Z1
NasdaqGM:ALPN	NasdaqGM:ALPN;DB:34LA
NasdaqCM:AEI	NasdaqCM:AEI;DB:42A0
NasdaqCM:ALTA	NasdaqCM:ALTA;DB:56N
NasdaqGS:ALTR	NasdaqGS:ALTR;DB:8A2;BMV:ALTR*
NasdaqCM:AGC	NasdaqCM:AGC;NasdaqCM:AGCU.U
NasdaqGM:ALT	NasdaqGM:ALT;LSE:0A4C;BMV:ALT1*;DB:3G0
NasdaqGS:ASPS	NasdaqGS:ASPS
NasdaqCM:ALTU	NasdaqCM:ALTU;NasdaqCM:ALTU.U
NasdaqCM:ALTO	NasdaqCM:ALTO;DB:FPR
NasdaqGS:AIMC	NasdaqGS:AIMC;XTRA:XQB;BMV:AIMC*;DB:XQB
NasdaqGM:ALTM	NasdaqGM:ALTM
NasdaqGS:ALXO	NasdaqGS:ALXO
NasdaqGM:AMAL	NasdaqGM:AMAL
NasdaqGM:AMRN	NasdaqGM:AMRN;DB:EH3A
NasdaqGS:AMZN	NasdaqGS:AMZN
NasdaqGS:AMBA	NasdaqGS:AMBA;LSE:0YU1;BMV:AMBAN;DB:A8B
NasdaqGS:AMCX	NasdaqGS:AMCX;DB:9AC
NasdaqGS:DOX	NasdaqGS:DOX;BMV:DOXN;DB:AOS
NasdaqGS:AMED	NasdaqGS:AMED;BMV:AMED*;DB:ADY
NasdaqGS:AMTB	NasdaqGS:AMTB;NasdaqGS:AMTB.B;DB:0KZA;DB:0KZ
NasdaqGS:UHAL	NasdaqGS:UHAL;DB:AUK
NasdaqGS:ATAX	NasdaqGS:ATAX;DB:FTX
NasdaqGS:CRMT	NasdaqGS:CRMT;DB:HC9
NasdaqCM:AMAO	NasdaqCM:AMAO;NasdaqCM:AMAO.U
NasdaqGS:AAL	NasdaqGS:AAL
NasdaqGS:AEP	NasdaqGS:AEP;XTRA:AEP;LSE:0HEC;BMV:AEP*;BOVESPA:A1EP34;WBAG:AEPC;DB:AEP
NasdaqGS:AMNB	NasdaqGS:AMNB
NasdaqGS:ANAT	NasdaqGS:ANAT;DB:2G8
NasdaqGS:AOUT	NasdaqGS:AOUT
NasdaqGS:APEI	NasdaqGS:APEI;DB:51A
NasdaqCM:AREC	NasdaqCM:AREC
NasdaqGS:AMRB	NasdaqGS:AMRB
NasdaqGS:AMSW.A	NasdaqGS:AMSW.A;DB:ADWA
NasdaqGS:AMSC	NasdaqGS:AMSC;BMV:AMSC*;DB:AMS1
NasdaqCM:AVCT	NasdaqCM:AVCT
NasdaqGS:AMWD	NasdaqGS:AMWD;DB:AHQ
NasdaqGS:ABCB	NasdaqGS:ABCB;DB:AXU
NasdaqGS:AMSF	NasdaqGS:AMSF;DB:A3I
NasdaqGM:ASRV	NasdaqGM:ASRV
NasdaqCM:ATLO	NasdaqCM:ATLO
NasdaqCM:AMST	NasdaqCM:AMST
NasdaqGS:AMGN	NasdaqGS:AMGN;XTRA:AMG;BASE:AMGN;LSE:0R0T;SWX:AMGN;SEHK:4332;BMV:AMGN*;BOVESPA:AMGN34;WBAG:AMGN;SNSE:AMGN;DB:AMG
NasdaqGM:FOLD	NasdaqGM:FOLD;LSE:0HF9;BMV:FOLD*;DB:AM6
NasdaqGS:AMKR	NasdaqGS:AMKR;DB:AMK
NasdaqCM:POWW	NasdaqCM:POWW;DB:92P
NasdaqGS:AMPH	NasdaqGS:AMPH;DB:29A
NasdaqCM:AMPG	NasdaqCM:AMPG
NasdaqCM:AMHC	NasdaqCM:AMHC;NasdaqCM:AMHC.U
NasdaqGS:ASYS	NasdaqGS:ASYS;DB:AS3
NasdaqGS:AMRS	NasdaqGS:AMRS;DB:3A01
NasdaqGS:ADI	NasdaqGS:ADI;XTRA:ANL;BASE:ADI;LSE:0HFN;BMV:ADI*;BOVESPA:A1DI34;WBAG:ADI;DB:ANL
NasdaqGS:ANAB	NasdaqGS:ANAB;LSE:0HFQ;BMV:ANAB*;DB:AN6
NasdaqCM:AVXL	NasdaqCM:AVXL;LSE:0HFR;DB:12X1
NasdaqCM:ANDA	NasdaqCM:ANDA;NasdaqCM:ANDA.U
NasdaqGS:ANGI	NasdaqGS:ANGI;DB:2UH
NasdaqGS:ANGO	NasdaqGS:ANGO;DB:UG2
NasdaqGS:ANGN	NasdaqGS:ANGN
NasdaqGM:ANIP	NasdaqGM:ANIP;BST:BSFA;DB:BSFA
NasdaqGS:ANIK	NasdaqGS:ANIK;DB:AKP
NasdaqCM:ANIX	NasdaqCM:ANIX;DB:CY71
NasdaqGS:ANNX	NasdaqGS:ANNX
NasdaqGM:ANPC	NasdaqGM:ANPC;DB:0UC
NasdaqGS:ANSS	NasdaqGS:ANSS;XTRA:ANSS;LSE:0HG3;BMV:ANSS*;BOVESPA:A1NS34;DB:AKX
NasdaqCM:ATRS	NasdaqCM:ATRS;DB:MJC
NasdaqCM:AEHL	NasdaqCM:AEHL
NasdaqCM:ATEX	NasdaqCM:ATEX;BST:2X6
NasdaqCM:ANZU	NasdaqCM:ANZU;NasdaqCM:ANZU.U
NasdaqGS:APA	NasdaqGS:APA;XTRA:APA;BMV:APA*;BOVESPA:A1PA34;DB:2S3
NasdaqGS:APLS	NasdaqGS:APLS;DB:1JK
NasdaqCM:APXT	NasdaqCM:APXT;NasdaqCM:APXT.U
NasdaqGS:APOG	NasdaqGS:APOG;DB:ANP
NasdaqGM:APEN	NasdaqGM:APEN;DB:HQ8F
NasdaqCM:AMEH	NasdaqCM:AMEH
NasdaqGM:APPF	NasdaqGM:APPF;DB:4P0
NasdaqGS:APPH	NasdaqGS:APPH;DB:829
NasdaqGM:APPN	NasdaqGM:APPN;LSE:0HGM;DB:910
NasdaqGS:AAPL	NasdaqGS:AAPL;XTRA:APC;KAS:US_AAPL;BVL:AAPL;BASE:AAPL;UKR:AAPL;LSE:0R2V;SWX:AAPL;BMV:AAPL*;BOVESPA:AAPL34;WBAG:AAPL;SNSE:AAPL;BVC:AAPL;DB:APC
NasdaqCM:APDN	NasdaqCM:APDN;DB:UDJP
NasdaqGM:AGTC	NasdaqGM:AGTC;DB:2GT
NasdaqGS:AMAT	NasdaqGS:AMAT;XTRA:AP2;BASE:AMAT;LSE:0R1A;SEHK:4336;BMV:AMAT*;BOVESPA:A1MT34;WBAG:AMAT;DB:AP2
NasdaqGS:AMTI	NasdaqGS:AMTI
NasdaqGM:AAOI	NasdaqGM:AAOI;BST:A59;LSE:0HGV
NasdaqGM:APLT	NasdaqGM:APLT;DB:2UV
NasdaqCM:AUVI	NasdaqCM:AUVI
NasdaqGS:APP	NasdaqGS:APP;MUN:6RV
NasdaqGS:APRE	NasdaqGS:APRE
NasdaqGS:APR	NasdaqGS:APR
NasdaqCM:APVO	NasdaqCM:APVO;DB:AP8N
NasdaqGS:APTX	NasdaqGS:APTX
NasdaqGM:APM	NasdaqGM:APM;ENXTPA:APM;DB:A1V
NasdaqGS:APYX	NasdaqGS:APYX;DB:BOV
NasdaqCM:AQMS	NasdaqCM:AQMS;LSE:0HH6;DB:AQK
NasdaqCM:AQB	NasdaqCM:AQB;BST:W8NB
NasdaqGM:AQST	NasdaqGM:AQST
NasdaqGS:ARAV	NasdaqGS:ARAV;DB:VE1
NasdaqGS:ABUS	NasdaqGS:ABUS;LSE:0SGC;DB:I9DN
NasdaqCM:ABIO	NasdaqCM:ABIO;DB:HQ10
NasdaqCM:RKDA	NasdaqCM:RKDA;DB:17DN
NasdaqGS:ARCB	NasdaqGS:ARCB;DB:AQY
NasdaqGS:ACGL	NasdaqGS:ACGL;NYSE:ARHPRACL;NYSE:ARHPRBCL;DB:RSK
NasdaqCM:ATSP.U	NasdaqCM:ATSP.U;NasdaqCM:ATSP.T
NasdaqGM:FUV	NasdaqGM:FUV;LSE:0A4I;DB:53H
NasdaqCM:ACTC	NasdaqCM:ACTC;NasdaqCM:ACTC.U
NasdaqCM:ACTD.U	NasdaqCM:ACTD.U
NasdaqGS:ARCE	NasdaqGS:ARCE
NasdaqGM:ARCT	NasdaqGM:ARCT
NasdaqGS:ARQT	NasdaqGS:ARQT
NasdaqGM:ARDX	NasdaqGM:ARDX;DB:41X
NasdaqGS:ARNA	NasdaqGS:ARNA;LSE:0S54;BMV:ARNA*;DB:RN3N
NasdaqCM:ARDS	NasdaqCM:ARDS
NasdaqGM:ARKR	NasdaqGM:ARKR
NasdaqCM:ARKO	NasdaqCM:ARKO;NasdaqCM:ARKO.W;TASE:ARKO
NasdaqGM:ARRY	NasdaqGM:ARRY
NasdaqGS:ARVL	NasdaqGS:ARVL;DB:47K
NasdaqGS:AROW	NasdaqGS:AROW
NasdaqGS:ARWR	NasdaqGS:ARWR;LSE:0HI3;BMV:ARWR*;DB:HDP1
NasdaqCM:ARRW	NasdaqCM:ARRW;NasdaqCM:ARRW.U
NasdaqCM:ARTW	NasdaqCM:ARTW
NasdaqCM:ARTL	NasdaqCM:ARTL
NasdaqGS:ARTN.A	NasdaqGS:ARTN.A;OTCPK:ARTN.B
NasdaqCM:AACQ	NasdaqCM:AACQ;NasdaqCM:AACQ.U
NasdaqGS:ARVN	NasdaqGS:ARVN
NasdaqCM:ARYA	NasdaqCM:ARYA
NasdaqCM:ARYD	NasdaqCM:ARYD
NasdaqGS:ASND	NasdaqGS:ASND;BMV:ASNDN;DB:A71
NasdaqCM:APWC	NasdaqCM:APWC;BST:DLZ
NasdaqGM:ASLN	NasdaqGM:ASLN
NasdaqGM:ASPU	NasdaqGM:ASPU
NasdaqGS:AZPN	NasdaqGS:AZPN;BMV:AZPN*;DB:AST
NasdaqCM:AWH	NasdaqCM:AWH;DB:CUL1
NasdaqGS:ASMB	NasdaqGS:ASMB;BST:V7B1;DB:V7B1
NasdaqCM:ASRT	NasdaqCM:ASRT;DB:AH3
NasdaqGS:ASTS	NasdaqGS:ASTS
NasdaqGS:ASTE	NasdaqGS:ASTE;DB:AI2
NasdaqCM:ASAX	NasdaqCM:ASAX;NasdaqCM:ASAX.U
NasdaqGS:ATRO	NasdaqGS:ATRO;OTCPK:ATRO.B;DB:AC1
NasdaqGM:ALOT	NasdaqGM:ALOT;DB:AZO
NasdaqCM:ASTC	NasdaqCM:ASTC;DB:SP5B
NasdaqCM:ASUR	NasdaqCM:ASUR
NasdaqGM:AACG	NasdaqGM:AACG;DB:3IZ
NasdaqGS:ATRA	NasdaqGS:ATRA;LSE:0HIY;DB:AT2
NasdaqGS:AVIR	NasdaqGS:AVIR
NasdaqCM:ATER	NasdaqCM:ATER;BMV:MWK*
NasdaqGS:ATNX	NasdaqGS:ATNX;DB:2MT
NasdaqCM:ATHX	NasdaqCM:ATHX;DB:4LS
NasdaqGS:ATHA	NasdaqGS:ATHA
NasdaqCM:SWET	NasdaqCM:SWET;NasdaqCM:SWET.U
NasdaqCM:ATIF	NasdaqCM:ATIF
NasdaqGM:AAME	NasdaqGM:AAME
NasdaqGS:ACBI	NasdaqGS:ACBI;DB:41K
NasdaqCM:ACAH	NasdaqCM:ACAH;NasdaqCM:ACAH.U
NasdaqGS:AUB	NasdaqGS:AUB;NasdaqGS:AUBA.P;DB:UIO
NasdaqGS:AY	NasdaqGS:AY;BMV:AYN;DB:AY3
NasdaqGS:ATLC	NasdaqGS:ATLC
NasdaqGS:AAWW	NasdaqGS:AAWW;DB:W8W
NasdaqGM:ATCX	NasdaqGM:ATCX
NasdaqGS:TEAM	NasdaqGS:TEAM;BOVESPA:T1AM34;BMV:TEAMN;DB:59A
NasdaqGS:ATNI	NasdaqGS:ATNI;DB:ATP
NasdaqCM:ATOM	NasdaqCM:ATOM
NasdaqCM:ATOS	NasdaqCM:ATOS;BST:YAG2;BMV:ATOS*;DB:YAG2
NasdaqGS:BCEL	NasdaqGS:BCEL;MUN:0C1;DB:0C1
NasdaqGM:ATRC	NasdaqGM:ATRC;DB:A5I
NasdaqGS:ATRI	NasdaqGS:ATRI
NasdaqCM:LIFE	NasdaqCM:LIFE;DB:471A
NasdaqGM:AUBN	NasdaqGM:AUBN
NasdaqCM:AUUD	NasdaqCM:AUUD
NasdaqGS:AUDC	NasdaqGS:AUDC;TASE:AUDC;DB:AU1
NasdaqCM:AEYE	NasdaqCM:AEYE
NasdaqCM:EARS	NasdaqCM:EARS;DB:2QAA
NasdaqCM:AURC	NasdaqCM:AURC;NasdaqCM:AURC.U
NasdaqGM:JG	NasdaqGM:JG
NasdaqCM:AEAC	NasdaqCM:AEAC;NasdaqCM:AEAC.U
NasdaqGS:ADSK	NasdaqGS:ADSK;XTRA:AUD;BMV:ADSK*;LSE:0HJF;WBAG:ADSK;BOVESPA:A1UT34;DB:AUD
NasdaqGS:AUTL	NasdaqGS:AUTL;DB:6A3A
NasdaqGS:ADP	NasdaqGS:ADP;XTRA:ADP;SNSE:ADP;LSE:0HJI;BASE:ADP;WBAG:ADP;BOVESPA:ADPR34;DB:ADP
NasdaqCM:AUTO	NasdaqCM:AUTO;DB:AYCP
NasdaqGM:AVDL	NasdaqGM:AVDL;DB:AWK1
NasdaqCM:AVCO	NasdaqCM:AVCO
NasdaqGS:AVAH	NasdaqGS:AVAH
NasdaqCM:ATXI	NasdaqCM:ATXI;BST:49Y;DB:49Y
NasdaqCM:AVEO	NasdaqCM:AVEO;DB:VPA1
NasdaqGS:AVNW	NasdaqGS:AVNW;DB:HSD1
NasdaqCM:CDMO	NasdaqCM:CDMO;NasdaqGM:CDMO.P;DB:A2JBKV
NasdaqGS:AVID	NasdaqGS:AVID;DB:AVD
NasdaqGM:RNA	NasdaqGM:RNA
NasdaqCM:AVGR	NasdaqCM:AVGR;DB:VG2B
NasdaqGS:CAR	NasdaqGS:CAR;BMV:CAR*;LSE:0HK4;BASE:CAR;DB:CUCA
NasdaqGS:AVT	NasdaqGS:AVT;DB:VNI
NasdaqGS:AVRO	NasdaqGS:AVRO
NasdaqGM:AWRE	NasdaqGM:AWRE;DB:AWR
NasdaqGS:ACLS	NasdaqGS:ACLS;DB:XXA1
NasdaqGM:AXLA	NasdaqGM:AXLA
NasdaqCM:AXGN	NasdaqCM:AXGN;LSE:0HKD;DB:LT3
NasdaqGS:AXON	NasdaqGS:AXON;LSE:0HKE;DB:TCS
NasdaqGS:AXNX	NasdaqGS:AXNX;BMV:AXNX*;DB:0I3
NasdaqGM:AXSM	NasdaqGM:AXSM;LSE:0HKF;DB:19X
NasdaqGS:AXTI	NasdaqGS:AXTI;DB:AHV
NasdaqGM:AYLA	NasdaqGM:AYLA
NasdaqCM:AYRO	NasdaqCM:AYRO;DB:WR4F
NasdaqCM:AYTU	NasdaqCM:AYTU;DB:AY2
NasdaqGM:AZYO	NasdaqGM:AZYO
NasdaqCM:AZRX	NasdaqCM:AZRX;DB:366
NasdaqGM:RILY	NasdaqGM:RILY;NasdaqGM:RILY.L
NasdaqCM:BRPM	NasdaqCM:BRPM;NasdaqCM:BRPM.U
NasdaqCM:BOSC	NasdaqCM:BOSC;BST:BOQ
NasdaqGS:BIDU	NasdaqGS:BIDU;BMV:BIDUN;WBAG:BIDU;BVL:BIDU;SWX:BIDU;LSE:0HL1;BASE:BIDU;DB:B1C;DB:B1CB;SEHK:9888
NasdaqGS:BCPC	NasdaqGS:BCPC;DB:BL9B
NasdaqGS:BANF	NasdaqGS:BANF
NasdaqGS:BAND	NasdaqGS:BAND;XTRA:BAND;DB:5XB
NasdaqCM:BFC	NasdaqCM:BFC;DB:42H
NasdaqGM:BOCH	NasdaqGM:BOCH;DB:42I
NasdaqCM:BMRC	NasdaqCM:BMRC
NasdaqCM:BKSC	NasdaqCM:BKSC
NasdaqCM:BOTJ	NasdaqCM:BOTJ
NasdaqGS:OZK	NasdaqGS:OZK;BMV:OZK*;DB:BO8
NasdaqGS:BSVN	NasdaqGS:BSVN
NasdaqGS:BFIN	NasdaqGS:BFIN
NasdaqGM:BWFG	NasdaqGM:BWFG;DB:33W
NasdaqGS:BANR	NasdaqGS:BANR
NasdaqCM:BAOS	NasdaqCM:BAOS
NasdaqGS:BZUN	NasdaqGS:BZUN;BMV:BZUNN;LSE:0HLU;DB:2BZ;DB:2BZA;SEHK:9991
NasdaqGS:BBSI	NasdaqGS:BBSI;DB:BB1
NasdaqGS:BSET	NasdaqGS:BSET
